Date,Close Price,Close Price Actual
2011-01-03,129.95,
2011-01-04,130.0,0.05000000000001137
2011-01-05,129.9,-0.09999999999999432
2011-01-06,129.85,-0.05000000000001137
2011-01-07,126.85,-3.0
2011-01-08,0.0,-126.85
2011-01-09,0.0,0.0
2011-01-10,124.25,124.25
2011-01-11,122.9,-1.3499999999999943
2011-01-12,122.25,-0.6500000000000057
2011-01-13,123.55,1.2999999999999972
2011-01-14,122.25,-1.2999999999999972
2011-01-15,0.0,-122.25
2011-01-16,0.0,0.0
2011-01-17,122.9,122.9
2011-01-18,124.4,1.5
2011-01-19,123.95,-0.45000000000000284
2011-01-20,124.15,0.20000000000000284
2011-01-21,123.8,-0.3500000000000085
2011-01-22,0.0,-123.8
2011-01-23,0.0,0.0
2011-01-24,125.65,125.65
2011-01-25,126.45,0.7999999999999972
2011-01-26,0.0,-126.45
2011-01-27,125.85,125.85
2011-01-28,123.95,-1.8999999999999915
2011-01-29,0.0,-123.95
2011-01-30,0.0,0.0
2011-01-31,123.4,123.4
2011-02-01,124.1,0.6999999999999886
2011-02-02,124.65,0.5500000000000114
2011-02-03,126.1,1.4499999999999886
2011-02-04,123.15,-2.9499999999999886
2011-02-05,0.0,-123.15
2011-02-06,0.0,0.0
2011-02-07,124.15,124.15
2011-02-08,122.7,-1.4500000000000028
2011-02-09,115.35,-7.3500000000000085
2011-02-10,116.5,1.1500000000000057
2011-02-11,116.95,0.45000000000000284
2011-02-12,0.0,-116.95
2011-02-13,0.0,0.0
2011-02-14,120.15,120.15
2011-02-15,121.9,1.75
2011-02-16,122.6,0.6999999999999886
2011-02-17,122.9,0.30000000000001137
2011-02-18,122.3,-0.6000000000000085
2011-02-19,0.0,-122.3
2011-02-20,0.0,0.0
2011-02-21,122.9,122.9
2011-02-22,122.8,-0.10000000000000853
2011-02-23,122.3,-0.5
2011-02-24,119.05,-3.25
2011-02-25,118.35,-0.7000000000000028
2011-02-26,0.0,-118.35
2011-02-27,0.0,0.0
2011-02-28,118.9,118.9
2011-03-01,116.7,-2.200000000000003
2011-03-02,0.0,-116.7
2011-03-03,112.8,112.8
2011-03-04,110.35,-2.450000000000003
2011-03-05,0.0,-110.35
2011-03-06,0.0,0.0
2011-03-07,109.2,109.2
2011-03-08,111.35,2.1499999999999915
