,0
2382,89.30854271955806
2383,89.91460108565053
2384,90.21777472305445
2385,90.13659727635273
2386,89.82414660218485
2387,89.5193329194856
2388,89.38650393357811
2389,89.44593432839733
2390,89.6048136844344
2391,89.74127659425228
2392,89.78086564459993
2393,89.72504389329087
2394,89.62859755640255
2395,89.55327789253678
2396,89.53107521641533
2397,89.55495640587927
2398,89.59408512464366
2399,89.61794517717406
2400,89.61338083103311
2401,89.58700277986182
2402,89.55577015813942
2403,89.53446834327623
2404,89.52803783983666
2405,89.53164817233072
2406,89.53622711970979
2407,89.53477483665209
2408,89.52569732207705
2409,89.51214306898748
2410,89.4988660416646
2411,89.48909263153354
2412,89.48315150477407
2413,89.47912550148129
2414,89.47457574685306
2415,89.46806135910528
2416,89.45966061676816
2417,89.45048870704176
2418,89.44177232734226
2419,89.43412877132738
2420,89.42739523844887
2421,89.42094533369713
2422,89.41417449918545
2423,89.40683313966849
2424,89.39906434477597
2425,89.39121024264517
2426,89.38356247625242
2427,89.3762130306057
2428,89.36906020153909
2429,89.36192158430136
2430,89.35465976828719
2431,89.3472465031907
2432,89.33974706274047
2433,89.33225661067584
2434,89.32483814661215
2435,89.31749641626328
2436,89.31019205602226
2437,89.30287642089105
2438,89.29552157400033
2439,89.28812999639953
2440,89.2807244170905
2441,89.27332920941066
2442,89.26595623224965
2443,89.25860178292618
2444,89.25125316624715
2445,89.2438984168773
2446,89.23653280658904
2447,89.22915941063592
2448,89.22178512947211
2449,89.21441571074998
2450,89.20705285493992
2451,89.1996944283827
2452,89.19233676751738
2453,89.18497717718728
2454,89.17761516436425
2455,89.1702520795126
2456,89.16288982641633
2457,89.15552963362302
2458,89.14817155949102
2459,89.14081479705041
2460,89.1334583767311
2461,89.12610175761256
2462,89.11874500740731
2463,89.11138858879721
2464,89.10403298566781
2465,89.0966784252871
2466,89.08932482472495
2467,89.08197192689222
2468,89.07461949510697
2469,89.06726744006181
2470,89.05991582741238
2471,89.05256479617337
2472,89.04521445947374
2473,89.03786484848219
2474,89.03051591852886
2475,89.02316759603991
2476,89.01581982815708
2477,89.00847260640917
2478,89.00112595863254
2479,88.99377992283766
2480,88.98643452290482
2481,88.97908975922564
2482,88.97174561523266
2483,88.96440207156654
2484,88.95705911772262
2485,88.94971675536581
2486,88.94237499385608
2487,88.93503384274499
2488,88.92769330632963
2489,88.92035338272808
2490,88.913014066691
2491,88.9056753534922
2492,88.89833724140327
2493,88.89099973177089
2494,88.88366282734535
2495,88.87632653030333
2496,88.8689908411633
2497,88.86165575894485
2498,88.85432128212346
2499,88.84698740961558
2500,88.83965414123143
2501,88.83232147749591
2502,88.82498941911933
2503,88.81765796651722
2504,88.81032711963402
2505,88.80299687808225
2506,88.79566724142757
2507,88.78833820941834
2508,88.78100978204604
2509,88.77368195945195
2510,88.76635474177638
2511,88.75902812905241
2512,88.75170212119005
2513,88.74437671803435
2514,88.73705191944293
2515,88.72972772533457
2516,88.72240413568892
2517,88.71508115051245
2518,88.70775876979897
2519,88.70043699350884
2520,88.69311582157289
2521,88.68579525391165
2522,88.67847529045504
2523,88.67115593115096
2524,88.66383717596139
2525,88.65651902485156
2526,88.64920147778075
2527,88.64188453469865
2528,88.63456819554852
2529,88.62725246027291
2530,88.61993732881811
2531,88.61262280113522
2532,88.60530887717826
2533,88.5979955569012
2534,88.59068284025577
2535,88.58337072719128
2536,88.57605921765578
2537,88.56874831159767
2538,88.5614380089665
2539,88.55412830971316
2540,88.5468192137889
2541,88.53951072114482
2542,88.53220283173133
2543,88.52489554549823
2544,88.51758886239517
2545,88.5102827823719
2546,88.50297730537868
2547,88.49567243136592
2548,88.48836816028421
2549,88.4810644920839
2550,88.47376142671527
2551,88.46645896412839
2552,88.45915710427333
2553,88.45185584710038
2554,88.44455519255969
2555,88.43725514060168
2556,88.42995569117662
2557,88.42265684423487
